codigo_bo,narrativa_original,contexto_completo,relatorio_ia
1997,comunicante começou receber ligações mensagens      pessoas perguntando agiota  realiza emprestimos valores  comunicante negou perguntava pessoas aonde indicou ele  pessoas vendo anuncio facebook comentario  marketplace  onde consta nome telefone  diante desses contatos recebidos preocupado alguma fraude relacionado nome pede facebook retire imediatamente anuncios  registrase ,CODIGO: 1997 | NATUREZA: OUTRAS FRAUDES | DATA: 2025-03-15 00:00:00.000 | HORA: 1970-01-01 16:35:00 | LOCAL: CUIABA/JARDIM MARIANA | TIPO LOCAL: INTERNET | NARRATIVA: comunicante começou receber ligações mensagens      pessoas perguntando agiota  realiza emprestimos valores  comunicante negou perguntava pessoas aonde indicou ele  pessoas vendo anuncio facebook comentario  marketplace  onde consta nome telefone  diante desses contatos recebidos preocupado alguma fraude relacionado nome pede facebook retire imediatamente anuncios  registrase ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2025-03-15 00:00:00.000  
**HORA INICIAL DOS FATOS:** 1970-01-01 16:35:00  
**LOCAL:** CUIABA/JARDIM MARIANA – TIPO LOCAL: INTERNET  
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES  
**RELATO SUCINTO DOS ACONTECIMENTOS:** O comunicante relatou ter recebido ligações e mensagens de pessoas que perguntavam sobre agiotagem e empréstimos de valores. Após negar o contato, o comunicante foi questionado sobre a origem de um anúncio publicado em redes sociais (Facebook) e marketplace, onde constavam seu nome e telefone. Preocupado com possíveis fraudes, solicitou a remoção imediata dos anúncios e registro de ocorrência."
1578, ligação mulher dizendo editora globo iriam cancelar assinatura revista comunicante possuia  comunicante possuia assinatura queria cancelar acreditou própria editora pediu dinheiro cancelar fez diversos pix dias valores 052024 2394    2  pix renata campos cruz  2340  48  30  78  4  77  50 lara  3  5  7 thabata santana oliveira  5  58 adrieli fatima  588  48 9  ria silva nascimento    5779 andreia evangelista alves 1599900ted   valor estornado  ficaram 1213 ás 1437 contato comunicantedados bancarios vitima vilma vinha bitar ag  46965 conta corrente 10 0110  banco brasilobs                   orientado comparecer delegacia especializadaestelionato  efeitos representação                  versão  nada declarar ,CODIGO: 1578 | NATUREZA: ESTELIONATO | DATA: 2024-05-15 00:00:00.000 | HORA: 1970-01-01 12:13:00 | LOCAL: CUIABA/DUQUE DE CAXIAS | TIPO LOCAL: EM BANCO | NARRATIVA:  ligação mulher dizendo editora globo iriam cancelar assinatura revista comunicante possuia  comunicante possuia assinatura queria cancelar acreditou própria editora pediu dinheiro cancelar fez diversos pix dias valores 052024 2394    2  pix renata campos cruz  2340  48  30  78  4  77  50 lara  3  5  7 thabata santana oliveira  5  58 adrieli fatima  588  48 9  ria silva nascimento    5779 andreia evangelista alves 1599900ted   valor estornado  ficaram 1213 ás 1437 contato comunicantedados bancarios vitima vilma vinha bitar ag  46965 conta corrente 10 0110  banco brasilobs                   orientado comparecer delegacia especializadaestelionato  efeitos representação                  versão  nada declarar ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-05-15  
**HORA INICIAL DOS FATOS:** 12:13  
**LOCAL:** CUIABÁ/DUQUE DE CAXIAS  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:** A vítima, Vilma Vinha Bitar, recebeu uma ligação de uma mulher que afirmava representar a Editora Globo, informando que sua assinatura de revista seria cancelada. A vítima acreditou no comunicado e, para evitar o cancelamento, realizou diversos PIXs em dias diferentes, com valores variados e nomes fictícios (ex.: Renata Campos Cruz, Lara, Thabata Santana Oliveira, Adrieli Fatima, Ria Silva Nascimento, Andreia Evangelista Alves). O total dos valores transferidos foi de R$ 1.213,00, com o último PIX realizado às 14:37. A vítima também forneceu dados bancários (agência 46965, conta corrente 10 0110, Banco do Brasil) ao suposto fraudador. Após o contato, foi orientada a comparecer à delegacia especializada em estelionato para registrar a ocorrência e prestar informações. A vítima não declarou outros detalhes."
11656,narra comuncante numero celular conta gmail clonados sairam pedindo pix pessoas conhecidas pix sai nome bruna silva  pix cpf 499313 79861 ,CODIGO: 11656 | NATUREZA: ESTELIONATO | DATA: 2024-09-25 00:00:00.000 | HORA: 1970-01-01 08:00:00 | LOCAL: CUIABA/RESIDENCIAL COXIPO | TIPO LOCAL: RESIDÊNCIA PARTICULAR | NARRATIVA: narra comuncante numero celular conta gmail clonados sairam pedindo pix pessoas conhecidas pix sai nome bruna silva  pix cpf 499313 79861 ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-09-25  
**HORA INICIAL DOS FATOS:** 1970-01-01 08:00:00  
**LOCAL:** CUIABA/RESIDENCIAL COXIPO  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:** O comunicante relatou que seu número celular, conta Gmail e WhatsApp foram clonados. Após o clonagem, pessoas conhecidas receberam solicitações de PIX, sendo realizado o pagamento sob o nome de Bruna Silva, CPF 49931379861."
7703,tecnica enfermagem  acordo comunicante mesma precisando trabalhar amiga suzy enfermeira indicou assessor deputado estadual poderia arrumar vaga comunicante unidade comunicante senhor solicitou vários documentos comunicante supostamente contrato junto prefeitura documentos entregues  comunicante informa senhor passou solicitar valor r 0 reais comunicante poder arrumar vaga unidade comunicante senhor disse valor pagar outro servidor nome gonçalo  comunicante informa valor pagou r  reais benificiário  972421   coop sicredi sudeste  comunicante informa disse iria interar valor r 25000 reais pagar tal gonçalo  após comunicante pagar valor senhor passou enrolar comunicante arrumou vaga esperado  ocorrência tomadas medidas cabíveis ,CODIGO: 7703 | NATUREZA: ESTELIONATO | DATA: 2024-02-09 00:00:00.000 | HORA: 1970-01-01 13:45:00 | LOCAL: CUIABA/PREJUDICADO | TIPO LOCAL: OUTRO | NARRATIVA: tecnica enfermagem  acordo comunicante mesma precisando trabalhar amiga suzy enfermeira indicou assessor deputado estadual poderia arrumar vaga comunicante unidade comunicante senhor solicitou vários documentos comunicante supostamente contrato junto prefeitura documentos entregues  comunicante informa senhor passou solicitar valor r 0 reais comunicante poder arrumar vaga unidade comunicante senhor disse valor pagar outro servidor nome gonçalo  comunicante informa valor pagou r  reais benificiário  972421   coop sicredi sudeste  comunicante informa disse iria interar valor r 25000 reais pagar tal gonçalo  após comunicante pagar valor senhor passou enrolar comunicante arrumou vaga esperado  ocorrência tomadas medidas cabíveis ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-02-09  
**HORA INICIAL DOS FATOS:** 1970-01-01 13:45:00  
**LOCAL:** CUIABA/PREJUDICADO  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:** A vítima, comunicante, relatou que foi contactada por uma enfermeira (amiga Suzy) que indicou um assessor do deputado estadual, que prometia arrumar uma vaga em uma unidade. Para isso, solicitou vários documentos, incluindo supostamente um contrato junto à prefeitura. Após entregar os documentos, o comunicante foi informado de que precisaria pagar R$ 25.000,00 para um servidor chamado Gonçalo. A vítima efetivamente transferiu o valor, mas o assessor passou a enrolar, evitando arrumar a vaga. A ocorrência foi registrada e medidas cabíveis foram tomadas."
13564,redes sociais contas google hackeadas tereciros passaram causar prejuizos vitima após usar redes vendas compras  disse redes sociais contas clonadas hackeadas são  gmail  instagran  facebook   conta mercado livre spotfy  disse após perceber fraude redes  conseguiu ter acesso contas  constatou pessoa hackeou contas passou usar contas causar prejuizos  vez suspeito passou fazer vendas compras inclusive produtros vitima comercializava contas  disse ainda suspeito passou modificar conta netflix spotfy  além realizar compras contas mercado livre  resolve rgeistrar perante autoridades competentes ,CODIGO: 13564 | NATUREZA: ESTELIONATO | DATA: 2024-01-27 00:00:00.000 | HORA: 1970-01-01 08:00:00 | LOCAL: CUIABA/COOPHAMIL | TIPO LOCAL: INTERNET | NARRATIVA: redes sociais contas google hackeadas tereciros passaram causar prejuizos vitima após usar redes vendas compras  disse redes sociais contas clonadas hackeadas são  gmail  instagran  facebook   conta mercado livre spotfy  disse após perceber fraude redes  conseguiu ter acesso contas  constatou pessoa hackeou contas passou usar contas causar prejuizos  vez suspeito passou fazer vendas compras inclusive produtros vitima comercializava contas  disse ainda suspeito passou modificar conta netflix spotfy  além realizar compras contas mercado livre  resolve rgeistrar perante autoridades competentes ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-01-27  
**HORA INICIAL DOS FATOS:** 1970-01-01 08:00:00  
**LOCAL:** CUIABA/COOPHAMIL  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:** A vítima relatou que suas contas de redes sociais (Google, Instagram, Facebook) e outras plataformas (Mercado Livre, Spotify, Netflix) foram hackeadas. O suspeito utilizou as contas clonadas para realizar compras e vendas, incluindo produtos comercializados pela vítima, além de modificar perfis e realizar transações fraudulentas. Após perceber a fraude, a vítima conseguiu acessar as contas e constatou a manipulação, registrando o caso perante autoridades competentes."
2881,estelionato internet empresa entrou contato comigo  ofereceu venda veículo seriae ntregue procedimento financiamento  mas veio contrato percebi tratava consórcio  enviarem contrato induziada fazer depósito r 128371 com contrato mãos percebi havia sido enganada assinei mesmo  entrei contato empresa solicitando reembolso valor  mandaram ficha solicitação cancelamento informaram feito reembolsoate momento feito  suspeita motivo comportamento suspeito  ,CODIGO: 2881 | NATUREZA: ESTELIONATO | DATA: 2025-02-12 00:00:00.000 | HORA: 1970-01-01 17:00:00 | LOCAL: CUIABA/SAO JOAO DEL REI | TIPO LOCAL: OUTRO | NARRATIVA: estelionato internet empresa entrou contato comigo  ofereceu venda veículo seriae ntregue procedimento financiamento  mas veio contrato percebi tratava consórcio  enviarem contrato induziada fazer depósito r 128371 com contrato mãos percebi havia sido enganada assinei mesmo  entrei contato empresa solicitando reembolso valor  mandaram ficha solicitação cancelamento informaram feito reembolsoate momento feito  suspeita motivo comportamento suspeito  ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2025-02-12  
**HORA INICIAL DOS FATOS:** 1970-01-01 17:00:00  
**LOCAL:** CUIABA/SAO JOAO DEL REI  
**NATUREZA DA OCORRÊNCIA:** ESTELIONATO  
**RELATO SUCINTO DOS ACONTECIMENTOS:** A vítima foi contactada por uma empresa via internet, que ofereceu a venda de veículo com procedimento de financiamento. Ao analisar o contrato, percebeu-se que tratava-se de um consórcio. Foi induzida a realizar depósito de R$ 128.371, assinando o contrato. Posteriormente, solicitou reembolso, sendo informada de que o valor já havia sido reembolsado. Suspeita de comportamento suspeito por parte da empresa."
5417,dia 14 recebi email ferramoscagmailcom pesquisa satisfação operadora vivo querendo saber experiência atendimento representante vendas vivo  dia reencaminhei mensagem operadora  meio endereço fale_conoscovivocombr  informando tratava fraude  vez busquei atendimento operadora  dia seguinte 15 compareci loja vivo  localizada shopping pantanal  cidade cuiabámt  onde solicitei pesquisa cpf  ocasião informaram havia linha nome  sendo   imediatamente informei reconhecia sendo solicitei cancelamento  atendente abriu protocolo nº 3 orientou contatar ouvidoria vivo solicitar cancelamento  dia entrei contato ouvidoria vivo meio telefone  ocasião falei atendente nome katiucia  informou procedimento cancelamento deveria ter sido realizado loja vivo  vez meios  canal ouvidoria  verificar dados  documentos realizar biometria  final ligação ouvidoria informaou protocolo nº  dia seguinte  retornei mesma loja vivo shopping pantanal  ocorrido solicitei novamente cancelamento linha   reconheço sendo minha  loja realizou então desativação serviço forneceu protocolo atendimento nº  data 162024  132910  diante exposto  fins resguardo idoneidade  informo reconheço sendo qualquer ligação sido linha   aberta forma fraudulenta nome cpf ,CODIGO: 5417 | NATUREZA: OUTRAS FRAUDES | DATA: 2024-02-14 11:00:00.000 | HORA: 1970-01-01 11:00:00 | LOCAL: CUIABA/CENTRO SUL | TIPO LOCAL: NAO ESPECIFICADO | NARRATIVA: dia 14 recebi email ferramoscagmailcom pesquisa satisfação operadora vivo querendo saber experiência atendimento representante vendas vivo  dia reencaminhei mensagem operadora  meio endereço fale_conoscovivocombr  informando tratava fraude  vez busquei atendimento operadora  dia seguinte 15 compareci loja vivo  localizada shopping pantanal  cidade cuiabámt  onde solicitei pesquisa cpf  ocasião informaram havia linha nome  sendo   imediatamente informei reconhecia sendo solicitei cancelamento  atendente abriu protocolo nº 3 orientou contatar ouvidoria vivo solicitar cancelamento  dia entrei contato ouvidoria vivo meio telefone  ocasião falei atendente nome katiucia  informou procedimento cancelamento deveria ter sido realizado loja vivo  vez meios  canal ouvidoria  verificar dados  documentos realizar biometria  final ligação ouvidoria informaou protocolo nº  dia seguinte  retornei mesma loja vivo shopping pantanal  ocorrido solicitei novamente cancelamento linha   reconheço sendo minha  loja realizou então desativação serviço forneceu protocolo atendimento nº  data 162024  132910  diante exposto  fins resguardo idoneidade  informo reconheço sendo qualquer ligação sido linha   aberta forma fraudulenta nome cpf ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-02-14  
**HORA INICIAL DOS FATOS:** 1970-01-01 11:00:00  
**LOCAL:** CUIABA/CENTRO SUL  
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES  
**RELATO SUCINTO DOS ACONTECIMENTOS:**  
No dia 14/02/2024, o autor recebeu um e-mail de origem suspeita (ferramoscagmailcom) solicitando feedback sobre atendimento da operadora Vivo. Após identificar a possível fraude, encaminhou a mensagem à operadora via e-mail (fale_conoscovivocombr) e compareceu à loja Vivo no Shopping Pantanal, Cuiabá, no dia 15/02/2024. Solicitou pesquisa de CPF e informou que a linha estava sob seu nome, solicitando cancelamento. O atendente abriu protocolo nº 3 e orientou contato com a Ombudsman Vivo. No dia seguinte, após contato com a Ombudsman (atendente Katiucia), foi informado que o cancelamento deveria ser realizado via canal ouvidoria, com verificação de dados e biometria. Retornou à loja no dia 16/02/2024, onde a linha foi desativada com protocolo nº 132910/2024. O autor informa que a linha foi fraudulenta e não reconhece as chamadas como originais."
12917,que  utilizando nome aplicar golpe clientes  golpistas entrando contato clientes falando solicitando dinheiro  utilizando  65  998110392  contudo  nunca  clientes idosos correm risco cometer algum erro transferir valor delinquentes ocorrência confeccionado comunicante   ,CODIGO: 12917 | NATUREZA: OUTRAS FRAUDES | DATA: 2024-07-16 16:30:00.000 | HORA: 1970-01-01 16:30:00 | LOCAL: CUIABA/JARDIM DAS AMERICAS | TIPO LOCAL: INTERNET | NARRATIVA: que  utilizando nome aplicar golpe clientes  golpistas entrando contato clientes falando solicitando dinheiro  utilizando  65  998110392  contudo  nunca  clientes idosos correm risco cometer algum erro transferir valor delinquentes ocorrência confeccionado comunicante   ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-07-16 16:30:00.000  
**HORA INICIAL DOS FATOS:** 1970-01-01 16:30:00  
**LOCAL:** CUIABA/JARDIM DAS AMERICAS  
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES  
**RELATO SUCINTO DOS ACONTECIMENTOS:** Ocorreu tentativa de golpe por meio de contato telefônico, onde fraudadores utilizavam nomes falsos para enganar clientes, solicitando transferências financeiras. O número utilizado para o contato foi 65 998110392. Apesar da tentativa, os clientes não transferiram valores, destacando-se o risco de idosos cometerem erros durante o processo. A ocorrência foi confeccionada por um comunicante, possivelmente com fins de engano ou desinformação."
10424,relatando data citada transação indevida  225189  dois mil duzentos cinquenta reias oitenta nove centavos  pessoa desconhece cujo nome lucas           nada relatou            relatar ,CODIGO: 10424 | NATUREZA: OUTRAS FRAUDES | DATA: 2024-10-10 00:00:00.000 | HORA: 1970-01-01 16:11:00 | LOCAL: CUIABA/GRANDE TERCEIRO | TIPO LOCAL: OUTRO | NARRATIVA: relatando data citada transação indevida  225189  dois mil duzentos cinquenta reias oitenta nove centavos  pessoa desconhece cujo nome lucas           nada relatou            relatar ,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2024-10-10  
**HORA INICIAL DOS FATOS:** 1970-01-01 16:11:00  
**LOCAL:** CUIABA/GRANDE TERCEIRO  
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES  
**RELATO SUCINTO DOS ACONTECIMENTOS:** Relato de uma transação indevida com valor de R$ 225.189,09, referenciada como ""225189"". A pessoa relata desconhecer o nome da pessoa envolvida (""Lucas"") e não houve comunicação prévia sobre o fato. O relato menciona a data citada (2024-10-10) e a ausência de informações adicionais."
8729,dia 1301 realizei compra via whatsapp  empresa manocell  paguei r 1500 ipad marca apple falou 10 15 dias  entregue  diversas vezes mandei mensagem perguntando sobre entrega mercadoria falou atraso  dia 052025 entregue devolveria valor via pix  momento nao recebi mercadoria nao recebi valor volta  nao responde mensagens  seguida  enviei mensagem via crime sido  nao sei quanto material  comprei mercadoria nao entregue,CODIGO: 8729 | NATUREZA: OUTRAS FRAUDES | DATA: 2025-01-13 00:00:00.000 | HORA: 1970-01-01 21:37:00 | LOCAL: CUIABA/BOA ESPERANCA | TIPO LOCAL: OUTRO | NARRATIVA: dia 1301 realizei compra via whatsapp  empresa manocell  paguei r 1500 ipad marca apple falou 10 15 dias  entregue  diversas vezes mandei mensagem perguntando sobre entrega mercadoria falou atraso  dia 052025 entregue devolveria valor via pix  momento nao recebi mercadoria nao recebi valor volta  nao responde mensagens  seguida  enviei mensagem via crime sido  nao sei quanto material  comprei mercadoria nao entregue,"**RELATÓRIO TÉCNICO RESUMIDO – BOLETIM DE OCORRÊNCIA**  
**DATA DOS FATOS:** 2025-01-13  
**HORA INICIAL DOS FATOS:** 1970-01-01 21:37:00  
**LOCAL:** CUIABA/BOA ESPERANCA  
**NATUREZA DA OCORRÊNCIA:** OUTRAS FRAUDES  
**RELATO SUCINTO DOS ACONTECIMENTOS:**  
No dia 13/01/2025, o autor realizou compra via WhatsApp com a empresa Manocell, pagando R$ 1.500,00 por um iPad da marca Apple, com promessa de entrega em 10 a 15 dias. Durante o período, diversas mensagens foram enviadas solicitando informações sobre o status da entrega, sendo informado sobre atrasos. No dia 05/05/2025, a mercadoria foi entregue, porém o autor não recebeu o produto e também não obteve o reembolso via PIX. O vendedor deixou de responder a mensagens, e após a comunicação via crime (possível erro ou referência a denúncia), o autor informou que não sabe quantos materiais foram comprados e que a mercadoria não foi entregue."
